passage1
response	0.007341640465966015
question	0.0049150130611714605
dialogue	0.004755201536501844
answer	0.0037800995434705015
slot	0.0024081569752059926
user	0.0022060171313310964
summary	0.0020474409534873353
utterance	0.0019621379865018933
policy	0.0018467181049429589
bias	0.0017251585811791437
latent	0.0016894098855639843
logical	0.0016761718161163975
accuracy	0.0015741048965842877
attention	0.0015305291335723193
prediction	0.0015259302985798189
representation	0.0014480689020371614
label	0.0014469119883629591
formal	0.0014371259368164797
tree	0.0014238049968766096
content	0.0014181538701414191

passage2
response	0.007341640465966015
graph	0.006351076006357439
question	0.0049150130611714605
answer	0.0037800995434705015
query	0.002411519980604932
node	0.0023686958964597203
user	0.0022060171313310964
action	0.002157280298297893
type	0.0017817992926613814
reason	0.0017684479857769501
supervision	0.0017589060299540219
entity	0.001731296081073835
selection	0.001705633643608266
logical	0.0016761718161163975
phase	0.0015621773323570992
attention	0.0015305291335723193
relation	0.001521865103524581
representation	0.0014480689020371614
formal	0.0014371259368164797
tree	0.0014238049968766096

passage3
graph	0.006351076006357439
candidate	0.0017684479857769501
reason	0.0017684479857769501
entity	0.001731296081073835
bias	0.0017251585811791437
correlation	0.0015854927593951745
relation	0.001521865103524581
negative	0.0014985517321345443
representation	0.0014480689020371614
matrix	0.0012747981381763464
correct	0.0011901198067117997
prior	0.0011803660903799494
space	0.0011551783947582567
behavior	0.0010786401491489465
semantic	0.0010611016676843235
loss	0.001052612334412555
distribution	0.0010460960904765907
knowledge	0.0009826394055468706
list	0.0009421171169880327
protocol	0.0009377923651900842

passage4
question	0.0049150130611714605
answer	0.0037800995434705015
document	0.0031554267284087637
bridge	0.003119938514311122
squad	0.002626751455176394
anaphora	0.0020747432568562147
confidence	0.0018206693864712593
type	0.0017817992926613814
candidate	0.0017684479857769501
reason	0.0017684479857769501
bridging	0.0017471522162999702
object	0.00173329917461729
mention	0.00173329917461729
entity	0.001731296081073835
span	0.0017097353839107753
selection	0.001705633643608266
human	0.0016951798092662827
resolution	0.0016183727879744527
sentence	0.001593457346016796
accuracy	0.0015741048965842877

passage5
question	0.0049150130611714605
answer	0.0037800995434705015
document	0.0031554267284087637
squad	0.002626751455176394
query	0.002411519980604932
user	0.0022060171313310964
passage	0.0021232720999127923
supervision	0.0017589060299540219
paragraph	0.0017589060299540219
span	0.0017097353839107753
da	0.001701784644169703
extractive	0.0016579353545610514
sparse	0.001647272302045425
accuracy	0.0015741048965842877
prediction	0.0015259302985798189
negative	0.0014985517321345443
representation	0.0014480689020371614
context	0.001373725969482503
phrase	0.0013236102787986578
target	0.0012803227208570678

passage6
response	0.007341640465966015
graph	0.006351076006357439
dialogue	0.004755201536501844
conversation	0.0035360115742759154
hierarchical	0.0022273272945113115
user	0.0022060171313310964
action	0.002157280298297893
diversity	0.0020125010248116418
utterance	0.0019621379865018933
policy	0.0018467181049429589
type	0.0017817992926613814
candidate	0.0017684479857769501
topic	0.001731296081073835
selection	0.001705633643608266
human	0.0016951798092662827
latent	0.0016894098855639843
coherence	0.001638755583274529
history	0.0016384964095811597
sentence	0.001593457346016796
attention	0.0015305291335723193

passage7
response	0.007341640465966015
dialogue	0.004755201536501844
conversation	0.0035360115742759154
diversity	0.0020125010248116418
human	0.0016951798092662827
coherence	0.001638755583274529
sentence	0.001593457346016796
correlation	0.0015854927593951745
prediction	0.0015259302985798189
negative	0.0014985517321345443
generation	0.0013913651456007483
conversational	0.0013806593909106517
context	0.001373725969482503
corpus	0.0012588825788473206
positive	0.0010750790180861717
similarity	0.0010645221566214851
semantic	0.0010611016676843235
loss	0.001052612334412555
distribution	0.0010460960904765907
unsupervised	0.0010354945431829887

passage8
law	0.006385919439151526
graph	0.006351076006357439
legal	0.005321250090374532
document	0.0031554267284087637
node	0.0023686958964597203
hierarchical	0.0022273272945113115
summary	0.0020474409534873353
reason	0.0017684479857769501
bias	0.0017251585811791437
selection	0.001705633643608266
latent	0.0016894098855639843
sentence	0.001593457346016796
accuracy	0.0015741048965842877
attention	0.0015305291335723193
prediction	0.0015259302985798189
relation	0.001521865103524581
judgment	0.0014927472286967837
layer	0.0014780236262148928
representation	0.0014480689020371614
description	0.0013806593909106517

passage9
response	0.007341640465966015
dialogue	0.004755201536501844
conversation	0.0035360115742759154
query	0.002411519980604932
slot	0.0024081569752059926
transformer	0.0022544027289431
user	0.0022060171313310964
action	0.002157280298297893
utterance	0.0019621379865018933
policy	0.0018467181049429589
type	0.0017817992926613814
candidate	0.0017684479857769501
human	0.0016951798092662827
history	0.0016384964095811597
sentence	0.001593457346016796
explanation	0.0015894732739034805
accuracy	0.0015741048965842877
attention	0.0015305291335723193
layer	0.0014780236262148928
representation	0.0014480689020371614

passage10
response	0.007341640465966015
question	0.0049150130611714605
dialogue	0.004755201536501844
conversation	0.0035360115742759154
query	0.002411519980604932
transformer	0.0022544027289431
utterance	0.0019621379865018933
type	0.0017817992926613814
candidate	0.0017684479857769501
topic	0.001731296081073835
selection	0.001705633643608266
human	0.0016951798092662827
false	0.0016316074360174146
sentence	0.001593457346016796
correlation	0.0015854927593951745
accuracy	0.0015741048965842877
label	0.0014469119883629591
content	0.0014181538701414191
generation	0.0013913651456007483
context	0.001373725969482503

passage11
response	0.007341640465966015
question	0.0049150130611714605
answer	0.0037800995434705015
screen	0.0024858394582771537
query	0.002411519980604932
user	0.0022060171313310964
confidence	0.0018206693864712593
type	0.0017817992926613814
reason	0.0017684479857769501
topic	0.001731296081073835
human	0.0016951798092662827
latent	0.0016894098855639843
sparse	0.001647272302045425
